Canonical Name,Synonym,Outcome Domain,Subdomain,Measure,Article
barnes maze,barnes maze; Barnes circular maze; Barnes spatial navigation test,Behavioral,Spatial learning & memory; Spatial memory; Spatial memory (reference & working),Escape latency to escape box; time in target hole on probe; Latency to locate escape box; Latency to locate the escape box; errors; working-memory trials,goldFunctionalAssessmentLongTerm2013; wahlCognitiveBehavioralEvaluation2017; websterUsingMiceModel2014
bbb locomotor scale,bbb locomotor scale,Behavioral,Gross locomotor recovery,"21-point open-field score of hindlimb joint movement, paw placement, stepping, trunk stability",jonesOutcomeMeasuresRodent2025
bbb permeability - tracer extravasation (btbi),bbb permeability - tracer extravasation (btbi),Physiology,Barrier-integrity assay,Quantification of dye (e.g. Evans blue) or tracer leakage into parenchyma,osierChronicHistopathologicalBehavioral2015
beam balance,beam balance,Behavioral,Motor coordination,Time to fall off narrow beam,osierChronicHistopathologicalBehavioral2015
beam walking test,balance beam; beam traversal; beam walking; beam walking test; beam traversal assay; narrow-beam test,Behavioral,; Fine motor coordination; Gross motor & vestibular function; Motor coordination,Latency (up to 60 s) to fall from or traverse an elevated narrow beam; Latency to fall or traverse a narrow elevated beam; Time to traverse + number of stepping errors on a constant-width or tapering inclined beam; Time to traverse an elevated narrow beam under negative reinforcement (light/noise) and number of foot slips; 1–7 score; Traversal time and foot-slips across a narrow beam to a goal box; Traverse time & foot-slips count; Time to traverse beam and number of foot slips/errors,goldFunctionalAssessmentLongTerm2013; osierChronicHistopathologicalBehavioral2015; xiongAnimalModelsTraumatic2013; goldFunctionalAssessmentLongTerm2013; xiongAnimalModelsTraumatic2013; meredithBehavioralModelsParkinsons2006; zarrukNeurologicalTestsFunctional2011
bederson neurological scale,bederson neurological scale; Bederson score; neurological deficit scale,Behavioral,Global neurological impairment,"Deficit score (0–4) based on forelimb flexion, circling, spontaneous movement",zarrukNeurologicalTestsFunctional2011
bin-cotton use,bin-cotton use; cotton pellet use assay; bin-cotton utilization test,Behavioral,,Time (and/or amount) to shred pre-weighed cotton over 72 h,meredithBehavioralModelsParkinsons2006
blood-pool uspio mri,blood-pool uspio mri,Imaging,,Signal changes from ultrasmall iron particles highlighting low‐vascular‐volume/infiltrative regions,waerzeggersMouseModelsNeurological2010
bold fmri,bold fmri (gre-epi); bold fmri (se-epi),Imaging,,"Gradient-echo EPI T₂*-weighted BOLD time-series (1–3 s temporal, ~1–3 mm spatial resolution); Spin-echo EPI T₂-weighted BOLD time-series (enhanced microvascular specificity, reduced large-vessel bias)",markicevicEmergingImagingMethods2021a
bouin’s fluid,bouin’s fluid; bouin’s fluid; bouin’s-fluid,Histology,Fixation,"Morphological preservation quality in embryos, fetuses, and testes",markHistopathologyMouseMetabolic2007
brainsmapi,brainsmapi; brainsmapi,Histology,,High-throughput registration and annotation of volumetric brain datasets,markicevicEmergingImagingMethods2021a
brush (dynamic mechanical) stimulus,brush (dynamic mechanical) stimulus; dynamic brush stimulus test; brush-evoked mechanical stimulus,Behavioral,Dynamic mechanical sensitivity,Presence/absence and kinematics of withdrawal to a light dynamic stroke,sadlerInnovationsAdvancesModelling2022
burrowing,burrowing; burrowing assay; substrate-burrowing behavior,Behavioral,Ongoing/spontaneous pain,Amount of substrate displaced over fixed time,sadlerInnovationsAdvancesModelling2022
cage-lid hanging,cage-lid hanging; lid-hanging test; cage-lid grip assay,Behavioral,Ongoing/spontaneous pain,Time spent hanging or climbing cage lid,sadlerInnovationsAdvancesModelling2022
calcium fluorescence imaging,calcium fluorescence imaging; Ca²⁺ imaging; calcium-indicator fluorescence microscopy,Imaging,,Δ[Ca²⁺] (Δfluorescence intensity) in neurons via organic or genetically-encoded indicators,markicevicEmergingImagingMethods2021a
calibrated forceps test,calibrated forceps test; pincher test; forceps pinch assay,Behavioral,Deep-tissue mechanical hypersensitivity,Force threshold for limb withdrawal over muscle,gregoryOverviewAnimalModels2013
capillary electrophoresis,capillary electrophoresis (ce); capillary gel electrophoresis (cge); capillary isoelectric focusing (cief); capillary zone electrophoresis (cze); micellar electrokinetic capillary chromatography (mekc); capillary electrophoresis; capillary-electrophoresis,Molecular & Cellular,Protein isoform & modification mapping; Protein molecular-weight estimation; Protein separation techniques; Protein/peptide separation,,jinNewDevelopmentsWestern2015
capsaicin test,capsaicin test; capsaicin-induced nociception; capsaicin pain assay,Behavioral,Chemical/inflammatory pain,Duration of paw licking or shaking after capsaicin injection,gregoryOverviewAnimalModels2013; sadlerInnovationsAdvancesModelling2022
carbolfuchsin,carbolfuchsin; carbolfuchsin,Histology,Spore-forming bacteria detection,Primary stain in Dorner endospore method—red spores,musumeciPresentFutureOverview2014
catwalk gait analysis,catwalk gait analysis; CatWalk automated gait analysis; gait analysis (CatWalk),Behavioral,Gait kinematics & coordination; Ongoing/spontaneous pain,"Quantification of paw placement and pressure during free locomotion; Spatiotemporal paw parameters (stride length, swing speed, print area) from an illuminated walkway",gregoryOverviewAnimalModels2013; jonesOutcomeMeasuresRodent2025
cell death - patterns (tunel/hoechst),cell death - patterns (tunel/hoechst); - patterns; cell death - patterns; cell death - patterns tunel; cell death - patterns tunel stain; cell-death---patterns; hoechst; hoechst stain; patterns (tunel/hoechst) cell death,Histology,Apoptosis,% TUNEL⁺ cells or % cells with condensed Hoechst-stained nuclei,osierChronicHistopathologicalBehavioral2015
cereal-eating (ibb) forelimb scale,cereal-eating (ibb) forelimb scale,Behavioral,Forelimb coordination/dexterity,Videotaped score of forelimb postures/movements while eating cereal pieces,jonesOutcomeMeasuresRodent2025
cerebrovascular histopathology,cerebrovascular histopathology; cerebrovascular histopathology; cerebrovascular-histopathology,Histology,Microanatomical structure,"Microbleed counts, Evans blue extravasation, CD34/VEGF IHC",osierChronicHistopathologicalBehavioral2015
classic rotation test,classic rotation test; rotation behavior assay; classic rotation assay,Behavioral,,Net ipsilateral or contralateral turns over a fixed period (e.g. 90 min) following amphetamine or apomorphine administration,meredithBehavioralModelsParkinsons2006
clearmap,clearmap; clearmap,Histology,,Automated detection and spatial mapping of labeled cells in cleared-tissue image stacks,markicevicEmergingImagingMethods2021a
cold plantar assay,cold plantar assay; cold plantar test; cold-sensitivity plantar assay,Behavioral,Cold hypersensitivity,Paw‐withdrawal latency to a cold stimulus under the paw,sadlerInnovationsAdvancesModelling2022
cold plate test,cold plate test; cold plate assay; cold nociception test,Behavioral,Cold hypersensitivity,"Number or duration of nocifensive behaviors (lifting, licking) on a cold surface",sadlerInnovationsAdvancesModelling2022
composite neuroscore,composite neuroscore; composite neurological score; neurodeficit composite score,Behavioral,Global neurological impairment,"Sum of tail-suspension flexion, lateral pulsion, circling, angle-board balance & grip-beam tests (max 20–28); Sum score (0–20 originally, later 0–28) across tasks: forelimb flexion, resistance to lateral pulsion, circling behavior, inclined board performance, grip-on-beam (and in the 7-task version, two additional reflex/motor tasks)",goldFunctionalAssessmentLongTerm2013; xiongAnimalModelsTraumatic2013
compression severity classification,compression severity classification; compression injury grading; spinal cord injury compression scale,Imaging,Injury severity,Magnitude of compressive force applied to spinal cord,jonesOutcomeMeasuresRodent2025
conditioned place aversion,conditioned place aversion; conditioned place avoidance (cpa); CPA test; conditioned avoidance assay,Behavioral,Affective component of pain; Avoidance of evoked stimuli,Decrease in time spent in chamber previously paired with a noxious injection; Decrease in time spent in pain‐paired environment,gregoryOverviewAnimalModels2013; sadlerInnovationsAdvancesModelling2022
conditioned place preference,conditioned place preference; CPP test; place-conditioning assay,Behavioral,Affective relief/negative affect,Increase in time spent in analgesia-paired environment; Increase in time spent in analgesia‐paired environment,gregoryOverviewAnimalModels2013; sadlerInnovationsAdvancesModelling2022
confocal fluorescence imaging,confocal fluorescence imaging; confocal microscopy; laser-scanning confocal imaging,Imaging,,ΔGCaMP fluorescence from individual boutons/cells within ~100–200 µm of the surface (FOV up to 1 mm²),markicevicEmergingImagingMethods2021a
congo red,congo red; congo red; congo-red,Histology,Amyloid detection,Red/orange amyloid deposits; apple-green birefringence under polarized light,gurinaHistologyStaining2025
contextual fear conditioning,contextual fear conditioning; contextual FC; context-fear conditioning,Behavioral,Associative (reference) memory,% freezing in trained context,websterUsingMiceModel2014
continuous performance test (rodent cpt),continuous performance test (rodent cpt),Behavioral,Attention,"Hit rate, false alarms, misses and correct rejections when discriminating signal vs. non‐signal stimuli",shepherdTranslationalAssaysAssessment2016
contrast-enhanced t1-weighted mri,contrast-enhanced t1-weighted mri,Imaging,,Gadolinium leakage indicating BBB disruption and angiogenic regions,waerzeggersMouseModelsNeurological2010
contusion severity classification,contusion severity classification; contusion grading; contusion-severity scale,Imaging,Injury severity,Weight-drop height or impact force used to produce injury,jonesOutcomeMeasuresRodent2025
corner test,corner test; corner-turning assay; corner-placing test,Behavioral,Whisker‐sensitivity & sensorimotor asymmetry,Percentage of left vs. right turns over 10 trials,zarrukNeurologicalTestsFunctional2011
crystal violet,crystal violet; crystal violet; crystal-violet,Histology,Bacterial classification,Primary Gram stain uptake in peptidoglycan—violet retention,musumeciPresentFutureOverview2014
cubic-cloud,cubic-cloud; CubicCloud imaging pipeline; 3D cloud reconstruction method,Histology,,GUI-driven 3D reconstruction and quantification of cleared-tissue fluorescence imaging volumes,markicevicEmergingImagingMethods2021a
cued fear conditioning,cued fear conditioning; cued FC; tone-fear conditioning,Behavioral,Associative (reference) memory,% freezing to discrete cue,websterUsingMiceModel2014
cylinder (limb-use asymmetry),cylinder (limb-use asymmetry),Behavioral,Sensorimotor asymmetry,% contacts or rears with impaired vs. unimpaired forelimb,osierChronicHistopathologicalBehavioral2015
cylinder test,cylinder (forelimb asymmetry) test; cylinder test; limb use asymmetry (cylinder); cylinder rearing test; forelimb asymmetry cylinder assay,Behavioral,; Gross forelimb use asymmetry; Gross forelimb use asymmetry; Motor‐coordination asymmetry,"% contacts made with left vs. right forepaw during vertical rearing; % contacts or weight‐shift of impaired vs. unimpaired forelimb during rearing/landing in a cylinder; % use of left vs. right forelimb contacts during rearing and lateral exploration; Counts of contralateral, ipsilateral or both-paw contacts during vertical exploration; Counts of contralateral, ipsilateral, and bilateral forepaw wall contacts during rearing",goldFunctionalAssessmentLongTerm2013; xiongAnimalModelsTraumatic2013; zarrukNeurologicalTestsFunctional2011; jonesOutcomeMeasuresRodent2025; meredithBehavioralModelsParkinsons2006
"cytokine profiling - il-1β, tnfα, il-10","cytokine profiling - il-1β, tnfα, il-10; 10 1β, tnfα, il il cytokine profiling; cytokine profiling - il-1β, tnfα, il-10; cytokine-profiling---il-1β,-tnfα,-il-10; tnfα, il-10",Molecular & Cellular,Inflammatory mediators,Tissue cytokine levels by ELISA or IHC,osierChronicHistopathologicalBehavioral2015
delayed matching-to-place water maze,delay-nonmatching-to-place (dnmtp) water maze; delayed matching-to-place (dmp) water maze; delayed matching/non-matching to position (dmtp/dmts); DMP water maze; delayed non-matching to place water maze,Behavioral,Working memory,% correct choice after delay; % correct choices after a defined delay; Escape latency across daily relocations of the hidden platform (working memory across delay),shepherdTranslationalAssaysAssessment2016; websterUsingMiceModel2014
diffusion fmri (dfmri),diffusion fmri (dfmri),Imaging,,Task-evoked diffusion-weighted (IDE spin-echo EPI) signal changes reflecting cell swelling; Task-evoked ΔADC via isotropic diffusion encoding (cell swelling–linked diffusion shifts),markicevicEmergingImagingMethods2021a
diffusion mri,diffusion mri (adc mapping),Imaging,,Apparent diffusion coefficient in parenchyma,waerzeggersMouseModelsNeurological2010
diffusion tensor imaging,diffusion tensor imaging (dti); diffusion-weighted imaging (dwi); DTI; tensor diffusion imaging,Imaging,,Apparent diffusion coefficient (ADC) for cellularity and tissue integrity; Fractional anisotropy of white-matter tracts,waerzeggersMouseModelsNeurological2010
digging-based set-shifting task,digging-based set-shifting task; digging set-shifting assay; digging-based cognitive flexibility test,Behavioral,Executive function,Trials to criterion when the rewarded dimension is shifted (e.g. odor → digging medium),shepherdTranslationalAssaysAssessment2016
direct social interaction,direct social interaction; social interaction test; direct dyadic social interaction assay,Behavioral,Sociability,Exploration time; Time attacking host; Time being attacked by host; Time being followed by host; Time following host; Time immobile; Time self-grooming; Time sniffing host,harrisonUnifiedBehavioralScoring2020
dolorimeter/pressure algometer,dolorimeter/pressure algometer; pressure algometer test; pain-threshold algometry,Behavioral,Deep-tissue mechanical hypersensitivity,Latency to withdraw or vocalize in response to increasing pressure on muscle/joint,gregoryOverviewAnimalModels2013
doppler ultrasound (tcd/fus variant),doppler ultrasound (tcd/fus variant); transcranial Doppler ultrasound; TCD/FUS cerebral blood flow imaging,Imaging,,ΔBlood flow velocity via Doppler shift of backscattered ultrasound echoes,markicevicEmergingImagingMethods2021a
dynamic contrast-enhanced (dce) mri,dynamic contrast-enhanced (dce) mri,Imaging,,"Time‐resolved contrast kinetics yielding vascular permeability, blood flow, and volume",waerzeggersMouseModelsNeurological2010
electroencephalography (eeg),electroencephalography (eeg); EEG recording; electrical brain activity recording,Physiology,,"Scalp or intracranial electrode recordings of voltage fluctuations (e.g., power spectra, event-related potentials)",markicevicEmergingImagingMethods2021a
electron microscopy,electron microscopy; electron microscopy; electron-microscopy,Histology,Transmission & scanning EM,Ultrastructural resolution of intracellular or surface details (×10 000–×500 000),musumeciPresentFutureOverview2014
electronic von frey,electronic von frey; electronic von Frey assay; electronic filament nociception test,Behavioral,Mechanical hypersensitivity,Automated paw‐withdrawal force threshold,sadlerInnovationsAdvancesModelling2022
elevated body swing test,elevated body swing test; EBST; body-swing asymmetry test,Behavioral,Muscle‐strength asymmetry,% of swings to each side when lifted—lateralized body sway bias,zarrukNeurologicalTestsFunctional2011
elevated gradient of aversion,elevated gradient of aversion; EGA test; gradient-aversion assay,Behavioral,Anxiety-related exploration & impulsivity,"Time, entries, and distance in closed (safety), transition, and open (risk) zones",acikgozOverviewCurrencyUsefulness2022
elevated plus maze,elevated plus maze; EPM; plus-maze anxiety test,Behavioral,Anxiety-like behavior; Anxiety‐like behavior,Time and entries in open vs. closed arms; Time and entries in open vs. closed arms; head-dip and stretch-attend counts,acikgozOverviewCurrencyUsefulness2022; goldFunctionalAssessmentLongTerm2013
elevated plus-maze,elevated plus-maze,Behavioral,Anxiety-like behavior,% time or entries into open vs. closed arms,osierChronicHistopathologicalBehavioral2015
elevated square maze,elevated square maze; ESM; square-maze anxiety assay,Behavioral,Anxiety-like behavior,"Time, activity, and transitions between open and closed areas",acikgozOverviewCurrencyUsefulness2022
elevated t-maze,elevated t-maze; ETM; T-maze anxiety test,Behavioral,Anxiety- and panic-related behavior,Avoidance of open arms (latency/entries) and escape behavior (latency from closed arm end),acikgozOverviewCurrencyUsefulness2022
elevated zero maze,elevated zero maze; EZM; circular elevated maze,Behavioral,Anxiety; Anxiety-like behavior,Crosses into open; Latency to enter open; Time and entries in open vs. enclosed sectors; Time in open,acikgozOverviewCurrencyUsefulness2022; harrisonUnifiedBehavioralScoring2020
en face aortic staining,en face aortic staining; aortic staining; en face aortic staining; en-face-aortic-staining,Histology,Vascular lesion analysis,Quantitative measurement of atherosclerotic plaque area,markHistopathologyMouseMetabolic2007
endospore stain,endospore stain (wirtz method); endospore stain; endospore-stain,Histology,Spore‐forming bacteria detection,Green spore vs. red vegetative cell contrast after heat fixation and counterstain,javaeedHistologicalStainsPresent2021
endospore stain - dorner method,endospore stain - dorner method; dorner method; dorner method endospore stain; endospore stain - dorner method; endospore-stain---dorner-method,Histology,Spore-forming bacteria detection,"Red spore vs. black background after carbolfuchsin, acid-alcohol & nigrosin",javaeedHistologicalStainsPresent2021
endospore stain - schaeffer-fulton method,endospore stain - schaeffer-fulton method; endospore stain - schaeffer-fulton method; endospore-stain---schaeffer-fulton-method; fulton method schaeffer endospore stain; schaeffer-fulton method,Histology,Spore-forming bacteria detection,Green spore vs. red vegetative cell contrast after malachite green/safranin,javaeedHistologicalStainsPresent2021
enzyme histochemistry,enzyme histochemistry; enzyme histochemistry; enzyme-histochemistry,Histology,Histochemical enzyme staining,Localized colorimetric or fluorescent signal where specific enzyme activity occurs,musumeciPresentFutureOverview2014
eosin,eosin; eosin,Histology,Basic structure staining,"Eosinophilic structures (cytoplasm, extracellular matrix)—pink/red hue",musumeciPresentFutureOverview2014
fast optical scattering imaging,fast optical scattering imaging; FOSI; optical-scattering microscopy,Imaging,,Millisecond-scale changes in diffuse light scattering amplitude (membrane refractive index shifts),markicevicEmergingImagingMethods2021a
fear conditioning test,fear conditioning; fear conditioning (general fc); fear conditioning - contextual; fear conditioning - contextual (fc-c); fear conditioning - cued; fear conditioning - cued (fc-u); fear conditioning test; FC test; conditioned fear assay,Behavioral,Associative (fear) memory; Contextual associative memory; Associative (fear) memory; Cued associative memory; Associative memory; Fear-related behavior; Recognition memory,% freezing after tone or context re-exposure (24 h later); % freezing in original context; % time freezing when returned to the shock-paired context; % freezing in the training context or to the conditioned cue; % freezing to tone in novel context; % time freezing in response to the tone/light cue in a novel context; % freezing upon presentation of conditioned cue in a neutral context; % freezing when returned to shock-paired context; Freezing duration (context/cue-induced) and locomotor suppression,acikgozOverviewCurrencyUsefulness2022; goldFunctionalAssessmentLongTerm2013; osierChronicHistopathologicalBehavioral2015; shepherdTranslationalAssaysAssessment2016; wahlCognitiveBehavioralEvaluation2017
fecal corticosterone metabolites (fcms),fecal corticosterone metabolites (fcms); fecal CORT assay; corticosterone-metabolite analysis,Behavioral,Anxiety/Stress,Change in FCM levels under stressed conditions,harrisonUnifiedBehavioralScoring2020
fiber-photometry calcium recording,fiber-photometry calcium recording; fiber photometry; calcium fiber-photometry,Physiology,,Bulk ΔGCaMP fluorescence from a local brain region via optical fiber,markicevicEmergingImagingMethods2021a
fibre-optic confocal imaging,fibre-optic confocal imaging; fiber-optic confocal microscopy; optical-fiber confocal imaging,Imaging,,"ΔGCaMP fluorescence through an implanted fibrescope, single-cell resolution over ~230 µm FOV",markicevicEmergingImagingMethods2021a
flow cytometry,flow cytometry; flow cytometry; flow-cytometry,Molecular & Cellular,Cell population analysis,Frequency and phenotype of cell populations via light scatter & fluorescent markers,musumeciPresentFutureOverview2014
fluorescence in situ hybridization (fish),fluorescence in situ hybridization (fish); fluorescence in situ hybridization; fluorescence-in-situ-hybridization; situ hybridization,Molecular & Cellular,In situ nucleic acid detection,Number and localization of specific nucleic acid sequences in tissue or cells,musumeciPresentFutureOverview2014
food cover task,food cover task; food-cover test; covered-food retrieval assay,Behavioral,,Latency or success rate to locate hidden food via olfaction,xiongAnimalModelsTraumatic2013
foot fault test,foot fault; foot-fault test; foot-fault assay; grid-walk fault test,Behavioral,Motor coordination; Skilled locomotion & placement accuracy,% of misplaced (slipped) fore-/hind-paw placements when crossing a grid; Number (or percentage) of paw placement errors (slips) on a horizontal grid during a set number of steps; Number (or percentage) of paw slips through a grid during locomotion,goldFunctionalAssessmentLongTerm2013; xiongAnimalModelsTraumatic2013; zarrukNeurologicalTestsFunctional2011
foot-fault,foot-fault,Behavioral,Sensorimotor coordination,Foot-slip/step ratio on grid,osierChronicHistopathologicalBehavioral2015
forced swim test,forced swim task; forced swim test; FST; Porsolt swim test,Behavioral,Depression-like behavior; Depression‐like behavior,Duration of immobility in forced swim cylinder; Total duration of immobility during test session,acikgozOverviewCurrencyUsefulness2022; goldFunctionalAssessmentLongTerm2013
forelimb flexion,forelimb flexion; limb flexion assay; forepaw flexion test,Behavioral,Reflexive motor impairment,"Degree of forelimb adduction when suspended by tail (scored 1–4); Degree of forelimb flexion/adduction when suspended by tail, scored 1–4",goldFunctionalAssessmentLongTerm2013; xiongAnimalModelsTraumatic2013
forelimb gross movement test,forelimb gross movement test; forelimb gross movement assay; limb motor assessment,Behavioral,Gross motor impairment,"Observation of shoulder, elbow, wrist/hand movements",jonesOutcomeMeasuresRodent2025
